timestamp,station_id,name,bikes_available,docks_available
2026-08-18T12:03+00:00,smoove:343,Koetilankuja,27,0
2026-08-18T12:03+00:00,smoove:223,Hämeenlinnanväylä,5,11
2026-08-18T12:03+00:00,smoove:344,Puistolan asema,3,13
2026-08-18T12:03+00:00,smoove:103,Korppaantie,2,14
2026-08-18T12:03+00:00,smoove:587,Hauenkallio,1,11
2026-08-18T12:03+00:00,smoove:224,Vesakkotie,10,2
2026-08-18T12:03+00:00,smoove:345,Kruunuvuorenrannan lautta,5,11
2026-08-18T12:03+00:00,smoove:104,Kriikunakuja,4,12
2026-08-18T12:03+00:00,smoove:225,Maunula,0,16
2026-08-18T12:03+00:00,smoove:346,Maatullinkuja,1,17
2026-08-18T12:03+00:00,smoove:105,Tilkantori,12,4
2026-08-18T12:03+00:00,smoove:589,Haukilahdenranta,3,13
2026-08-18T12:03+00:00,smoove:226,Lepolantie,0,14
2026-08-18T12:03+00:00,smoove:347,Sateenkaarentie,9,9
2026-08-18T12:03+00:00,smoove:106,Korppaanmäentie,1,15
2026-08-18T12:03+00:00,smoove:227,Kylävoudintie,0,14
2026-08-18T12:03+00:00,smoove:348,Siltamäki,7,5
2026-08-18T12:03+00:00,smoove:581,Niittykumpu (M),13,19
2026-08-18T12:03+00:00,smoove:340,Jakomäki,11,5
2026-08-18T12:03+00:00,smoove:635,Kuunkatu,1,23
2026-08-18T12:03+00:00,smoove:515,Oravannahkatori,1,15
2026-08-18T12:03+00:00,smoove:757,Painiitty,4,8
2026-08-18T12:03+00:00,smoove:637,Ruomelantie,0,12
2026-08-18T12:03+00:00,smoove:517,Länsituuli,1,19
2026-08-18T12:03+00:00,smoove:639,Itäportti,1,17
2026-08-18T12:03+00:00,smoove:518,Tuulimäki,5,15
2026-08-18T12:03+00:00,smoove:519,Tapionaukio,6,20
2026-08-18T12:03+00:00,smoove:751,Vallipolku,0,20
2026-08-18T12:03+00:00,smoove:631,Friisilänaukio,22,0
2026-08-18T12:03+00:00,smoove:511,Sateentie,2,16
2026-08-18T12:03+00:00,smoove:753,Linnuntie,14,10
2026-08-18T12:03+00:00,smoove:633,Avaruuskatu,2,14
2026-08-18T12:03+00:00,smoove:513,Hakalehto,2,22
2026-08-18T12:03+00:00,smoove:755,Kutsuntatie,3,13
2026-08-18T12:03+00:00,smoove:525,Mäntyviita,0,14
2026-08-18T12:03+00:00,smoove:767,Ruutikatu,0,10
2026-08-18T12:03+00:00,smoove:404,Sompasaari,11,15
2026-08-18T12:03+00:00,smoove:647,Lystimäki,5,5
2026-08-18T12:03+00:00,smoove:405,Jollas,11,5
2026-08-18T12:03+00:00,smoove:527,Otsolahti,4,14
2026-08-18T12:03+00:00,smoove:649,Lystimäensilta,13,0
2026-08-18T12:03+00:00,smoove:529,Keilaniemi (M),22,18
2026-08-18T12:03+00:00,smoove:761,Mäkkylän asema,3,17
